,Unnamed: 0,id,id,,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1,sex_F,sex_M,sex_U,median_house_income,state,zip_bins_2,zip_bins_3,zip_bins_4,zip_bins_5,zip_bins_6,zip_bins_7,zip_bins_8,zip_bins_9,zip_bins_10,zip_bins_11,zip_bins_12,zip_bins_13,zip_bins_14,p_final
66,66,67,62,,M,0,99999,13,5,247,15,30,0,1,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.127785466
67,67,68,63,,M,0,99999,13,2,105,1,33,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.101100141
69,69,70,67,,F,0,99999,13,3,74,13,20,0,0,1,0,1,0,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.065227232
70,70,71,68,,M,0,99999,13,3,749.5,16,19,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.118221279
71,71,72,70,,M,0,99999,13,3,63.5,4,12,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.048662391
76,76,77,71,,M,0,0,3,1,24.5,10,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.142877659
77,77,78,72,,M,0,0,3,1,54.5,22,31,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.186218756
79,79,80,77,,F,0,99999,13,1,12,2,21,0,0,1,0,1,0,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.072969647
80,80,81,78,,M,0,99999,13,2,144,11,29,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.066372653
83,83,84,80,,F,0,99999,13,3,123,16,19,0,0,1,0,1,0,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.059773966
84,84,85,81,,M,0,99999,13,1,76,6,34,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.066184539
88,88,89,84,,M,0,99999,13,1,139.5,4,20,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.076636007
89,89,90,85,,M,0,99999,13,5,291.5,29,24,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055240591
92,92,93,89,,M,0,0,3,2,80.5,31,23,0,1,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.171978093
93,93,94,90,,M,0,0,3,2,56.5,19,15,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.117631327
96,96,97,93,,M,0,99999,13,1,31,5,26,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.065364059
97,97,98,94,,M,0,99999,13,4,68.5,17,27,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.064246451
99,99,100,97,,M,0,99999,13,5,238,21,23,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08365337
104,104,105,98,,M,0,99999,13,3,153.5,14,32,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0765657
106,106,107,100,,M,0,0,3,1,54.5,22,2,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0860971
107,107,108,105,,M,0,0,3,2,219,13,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.177663492
108,108,109,107,,M,0,99999,13,5,82,5,31,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14569426
115,115,116,108,,M,0,99999,13,2,147,17,29,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055723527
116,116,117,109,,M,0,99999,13,4,219.5,6,6,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.061990562
118,118,119,116,,F,0,99999,13,5,209.5,15,24,0,0,1,0,1,0,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.096260721
121,121,122,117,,M,0,0,3,1,62.5,29,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.063178305
124,124,125,119,,M,0,99999,13,5,105.5,12,28,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.109618064
128,128,129,122,,M,0,0,3,3,93.5,1,10,0,1,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.321880123
129,129,130,125,,M,0,0,3,2,106.5,25,36,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.201291523
131,131,132,129,,M,0,99999,13,1,29.5,3,30,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.071959248
136,136,137,130,,M,0,99999,13,1,69.5,7,29,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.069102774
137,137,138,132,,M,0,99999,13,2,54,10,20,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.069038749
139,139,140,137,,M,0,99999,13,5,118.5,18,25,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.076336627
141,141,142,138,,U,0,99999,13,5,346.5,3,5,0,0,0,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.097544299
143,143,144,140,,M,0,99999,13,2,122,14,19,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055600443
144,144,145,142,,M,0,0,3,5,132.5,16,28,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.408172539
145,145,146,144,,M,0,0,3,1,6,5,21,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.332976644
146,146,147,145,,F,0,99999,13,3,138,12,32,1,0,0,0,1,0,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.067121565
151,151,152,146,,U,0,99999,13,2,75.5,4,26,1,0,0,0,0,0,1,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.085893461
155,155,156,147,,M,0,99999,13,2,114,1,8,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.049894877
156,156,157,152,,M,1,0,3,1,110,4,16,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.178941493
157,157,158,154,,M,1,0,3,4,88,6,23,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.410000384
159,159,160,156,,M,0,99999,13,1,24.5,12,35,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.047124915
162,162,163,157,,M,0,0,3,2,21.5,17,2,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.122090936
163,163,164,158,,M,0,0,3,1,98.5,4,5,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.196818588
164,164,165,160,,M,0,0,3,4,208,7,31,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.470770416
165,165,166,163,,M,0,0,3,5,282,3,8,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.39641369
166,166,167,164,,M,0,99999,13,1,44.5,9,25,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.054918519
168,168,169,165,,M,0,0,3,3,65,26,16,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.210188347
169,169,170,166,,M,0,0,3,2,114,30,3,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.075034043
170,170,171,167,,M,0,0,3,1,84.5,12,19,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.278054486
171,171,172,169,,M,0,0,3,2,99.5,33,18,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.140760062
178,178,179,170,,M,0,99999,13,2,109,1,8,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.049614456
180,180,181,171,,M,1,0,3,2,118.5,33,19,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126772944
181,181,182,172,,M,1,0,3,1,64.5,1,9,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.192129404
182,182,183,181,,M,0,99999,13,5,157.5,16,24,0,1,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.110629086
184,184,185,182,,M,0,99999,13,4,98,5,4,0,1,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.065389062
185,185,186,183,,M,0,99999,13,2,63,10,22,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.063055853
186,186,187,185,,M,0,99999,13,1,24.5,10,22,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.056643684
188,188,189,186,,M,0,99999,13,2,57.5,4,36,0,0,1,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.093008102
189,189,190,187,,M,0,99999,13,2,42.5,5,21,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.077689434
191,191,192,189,,M,0,99999,13,3,268.5,7,7,0,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.052849008
194,194,195,190,,M,0,99999,13,2,156.5,10,23,1,0,0,0,0,1,0,61000,INTL,0,0,0,0,0,0,0,0,0,0,0,1,0,0.070016039
198,198,199,192,,M,0,0,3,2,44.5,17,12,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126415869
199,199,200,195,,M,0,0,3,2,84,12,2,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16129385
203,203,204,199,,M,1,3158,3,1,26.5,3,6,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.170081272
204,204,205,200,,M,1,0,3,4,767.5,21,11,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.256547015
205,205,206,205,,M,1,0,3,4,197,17,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.175704605
207,207,208,206,,M,0,760,3,5,308,1,15,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.430242815
209,209,210,208,,U,1,0,3,2,193,27,31,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.180566353
210,210,211,209,,M,0,0,3,2,179,26,14,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.097881051
211,211,212,210,,M,0,0,3,1,34.5,22,34,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.167287184
214,214,215,211,,M,0,660,14,4,236.5,10,33,1,0,0,0,0,1,0,61000,PR,0,0,0,0,0,0,0,0,0,0,0,0,1,0.097453051
222,222,223,212,,M,0,801,3,2,49,18,9,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.121166476
224,224,225,213,,B,0,801,3,1,162,19,19,0,0,1,0,0,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166369469
225,225,226,214,,B,0,801,3,2,224,26,13,0,1,0,0,0,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08206534
226,226,227,215,,M,0,801,3,1,9.5,25,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.071797586
228,228,229,216,,M,1,801,3,1,64.5,13,20,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.217307647
229,229,230,217,,M,1,801,3,1,56,24,10,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.069455097
230,230,231,218,,M,0,801,3,1,9.5,32,13,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.052058452
231,231,232,219,,M,0,801,3,1,24.5,26,25,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.138469283
232,232,233,220,,F,1,801,3,1,109.5,18,35,1,0,0,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.171851429
234,234,235,221,,M,0,801,3,1,109.5,30,2,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.063149857
235,235,236,222,,M,0,801,3,1,53.5,17,10,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10876122
236,236,237,223,,M,0,801,3,1,117,18,13,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.111610754
239,239,240,225,,M,0,801,3,1,60.5,30,14,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.060643696
242,242,243,226,,M,0,801,3,3,61.5,31,16,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.080967435
243,243,244,227,,M,0,801,3,4,71.5,4,1,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.287517052
246,246,247,229,,M,0,801,3,2,28,17,1,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.122785466
247,247,248,230,,M,0,801,3,1,73.5,20,2,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.096240911
248,248,249,231,,M,0,801,3,1,4.5,20,33,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.192851631
249,249,250,232,,M,0,801,3,1,7,18,1,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.097983133
250,250,251,233,,M,1,801,3,2,65,3,33,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.357552093
251,251,252,235,,M,1,801,3,1,49.5,5,18,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.311850369
252,252,253,236,,M,0,801,3,1,79.5,18,17,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.107754091
254,254,255,237,,M,0,801,3,2,74,14,8,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.147667054
255,255,256,240,,M,0,801,3,2,130,36,22,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.116289177
256,256,257,243,,M,0,801,3,5,210,4,3,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.363067784
259,259,260,244,,U,1,801,3,1,57,22,21,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.165906942
262,262,263,247,,F,0,801,3,3,98.5,24,32,0,0,1,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.218007457
265,265,266,248,,F,0,801,3,3,194,1,29,0,0,1,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.495562769
268,268,269,249,,F,0,801,3,4,128,8,23,0,0,1,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.431701143
270,270,271,250,,M,0,801,3,3,107.5,16,5,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.162681978
272,272,273,251,,M,0,801,3,5,135.5,6,15,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32399093
273,273,274,252,,M,0,801,3,1,34.5,32,5,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.053038391
279,279,280,253,,F,0,801,3,4,92.5,11,5,0,0,0,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.207379431
281,281,282,255,,M,1,801,3,1,127,6,26,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.323096534
283,283,284,256,,M,0,801,3,1,49.5,33,15,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05205558
285,285,286,257,,M,0,801,3,1,79.5,26,1,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.073519463
286,286,287,260,,M,0,801,3,1,6,21,6,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.085897043
287,287,288,263,,M,0,801,3,2,29,13,7,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14708572
288,288,289,266,,M,0,801,3,2,319,23,27,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.240926562
289,289,290,269,,M,0,801,3,3,131,1,13,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.299318784
290,290,291,271,,M,0,801,3,1,59.5,1,10,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.21478404
291,291,292,273,,M,0,801,3,1,24.5,23,30,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.158180811
292,292,293,274,,U,1,801,3,3,101.5,25,17,0,0,0,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.098747349
294,294,295,280,,U,0,801,3,4,100.5,9,22,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.442350634
295,295,296,282,,U,0,801,3,1,49.5,16,19,1,0,0,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.215525763
296,296,297,284,,M,1,801,3,1,9.5,24,27,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.131478114
297,297,298,286,,M,1,801,3,1,11,5,20,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.302660693
298,298,299,287,,M,0,801,3,3,94,35,4,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.068773464
299,299,300,288,,M,0,801,3,5,139.5,12,26,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.458666765
300,300,301,289,,M,0,801,3,1,89.5,5,35,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.334373095
301,301,302,290,,M,0,801,3,2,29,4,16,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.214768814
303,303,304,291,,M,0,801,3,5,201.5,17,9,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.228872473
306,306,307,292,,M,0,801,3,1,4.5,31,13,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05427665
307,307,308,293,,M,0,801,3,1,114.5,18,19,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.228191573
308,308,309,295,,U,1,801,3,2,34,22,26,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.188872152
310,310,311,296,,M,1,801,3,1,4.5,24,16,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.066069088
311,311,312,297,,M,1,801,3,1,9.5,10,13,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.124935771
312,312,313,298,,M,0,801,3,3,141,10,28,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.370776923
313,313,314,299,,M,0,801,3,3,201,26,31,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.222010974
315,315,316,300,,U,1,801,3,1,64.5,17,17,0,0,0,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.098648633
318,318,319,301,,M,0,801,3,1,49.5,12,11,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.135058787
320,320,321,302,,M,0,801,3,1,44.5,19,8,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.098267135
321,321,322,304,,M,0,801,3,1,33,13,17,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.127968031
325,325,326,307,,M,0,801,3,3,190,6,5,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.261047136
326,326,327,308,,M,0,801,3,4,211.5,5,4,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31267097
327,327,328,309,,M,0,801,3,2,27,1,5,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.238213612
328,328,329,311,,M,1,801,3,1,29.5,16,3,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.096629895
331,331,332,312,,U,0,801,3,1,19.5,26,33,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.154484254
332,332,333,313,,U,0,801,3,2,99,6,2,0,0,0,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.21133618
333,333,334,314,,U,0,801,3,2,60,21,4,0,0,0,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.108063728
335,335,336,316,,F,0,801,3,4,58,24,25,1,0,0,0,1,0,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.219995248
336,336,337,319,,M,0,801,3,1,182,9,19,0,0,1,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.334373126
337,337,338,321,,M,0,801,3,2,69,10,31,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.312347432
339,339,340,322,,M,0,801,3,4,331,1,10,0,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.392116767
340,340,341,326,,U,0,801,3,1,34.5,12,27,0,0,1,0,0,0,1,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.271005304
342,342,343,327,,M,0,801,3,2,31,6,36,1,0,0,0,0,1,0,61000,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.347962352
